trial_id,iteration,timestamp,model_name,llm_choice,raw_response,choice1_scarcity,choice1_longevity,choice1_brand,choice2_scarcity,choice2_longevity,choice2_brand
b5e2ab21-ce49-499e-89ec-f6eb2be67302,0,2025-09-26T12:17:46.924321,gpt-4.1-nano,1,raw_response,high_scarcity,high_longevity,Cafe XYZ,high_scarcity,low_longevity,Cafe ABC
4b01bc2f-01ca-4262-abcf-91eb9f25dd65,1,2025-09-26T12:17:47.034644,gpt-4.1-nano,1,raw_response,high_scarcity,high_longevity,Cafe XYZ,high_scarcity,low_longevity,Cafe ABC
77945887-3e85-4f8d-9a69-d09925a9d6c6,0,2025-09-26T12:17:47.143700,gpt-4.1-nano,1,raw_response,low_scarcity,high_longevity,Cafe XYZ,high_scarcity,high_longevity,Cafe ABC
6fa6d2e7-a514-458a-aac8-4404af9dd21f,1,2025-09-26T12:17:47.252958,gpt-4.1-nano,1,raw_response,low_scarcity,high_longevity,Cafe XYZ,high_scarcity,high_longevity,Cafe ABC
bf7a565d-d52c-493f-9b73-01758178d509,0,2025-09-26T12:17:47.360375,gpt-4.1-nano,1,raw_response,low_scarcity,low_longevity,Cafe ABC,high_scarcity,high_longevity,Cafe XYZ
2043d08c-94da-4984-aa21-43104ce6154b,1,2025-09-26T12:17:47.470306,gpt-4.1-nano,1,raw_response,low_scarcity,low_longevity,Cafe ABC,high_scarcity,high_longevity,Cafe XYZ
9b4852ff-5fc3-40db-826e-88304bcbb91e,0,2025-09-26T12:17:47.580339,gpt-4.1-nano,1,raw_response,low_scarcity,high_longevity,Cafe ABC,high_scarcity,low_longevity,Cafe XYZ
a90bad82-5d71-4da6-bcf0-ced523f67e92,1,2025-09-26T12:17:47.689335,gpt-4.1-nano,1,raw_response,low_scarcity,high_longevity,Cafe ABC,high_scarcity,low_longevity,Cafe XYZ
caea1cb3-f826-4e84-b120-7958cdf8626f,0,2025-09-26T12:17:47.812822,gpt-4.1-nano,1,raw_response,high_scarcity,low_longevity,Cafe ABC,low_scarcity,low_longevity,Cafe XYZ
6bf0e315-a32c-4190-8094-b62f1b5c53aa,1,2025-09-26T12:17:47.920688,gpt-4.1-nano,1,raw_response,high_scarcity,low_longevity,Cafe ABC,low_scarcity,low_longevity,Cafe XYZ
d568af74-cadf-415b-bea4-26d5ed1800bb,0,2025-09-26T12:17:48.030401,gpt-4.1-nano,1,raw_response,low_scarcity,high_longevity,Cafe XYZ,low_scarcity,low_longevity,Cafe ABC
b1974608-1f1e-4d54-b5a1-996c79642065,1,2025-09-26T12:17:48.139481,gpt-4.1-nano,1,raw_response,low_scarcity,high_longevity,Cafe XYZ,low_scarcity,low_longevity,Cafe ABC
ecbcc009-3858-4eb0-82a8-17c73ec47f5f,0,2025-09-26T12:17:48.264676,claude-3-5-haiku-20241022,1,raw_response,high_scarcity,low_longevity,Cafe ABC,high_scarcity,high_longevity,Cafe XYZ
